X_i, allowed Y_i
-32209, "[-559; 32767]"
-32208, "[-560; 32767]"
-32207, "[-561; 32767]"
-32206, "[-562; 32767]"
-32205, "[-563; 32767]"
-32204, "[-564; 32767]"
-32203, "[-565; 32767]"
-32202, "[-566; 32767]"
-32201, "[-567; 32767]"
-32200, "[-568; 32767]"
-32199, "[-569; 32767]"
-32198, "[-570; 32767]"
-32197, "[-571; 32767]"
-32196, "[-572; 32767]"
-32195, "[-573; 32767]"
-32194, "[-574; 32767]"
-32193, "[-575; 32767]"
-32192, "[-576; 32767]"
-32191, "[-577; 32767]"
-32190, "[-578; 32767]"
-32189, "[-579; 32767]"
-32188, "[-580; 32767]"
-32187, "[-581; 32767]"
-32186, "[-582; 32767]"
-32185, "[-583; 32767]"
-32184, "[-584; 32767]"
-32183, "[-585; 32767]"
-32182, "[-586; 32767]"
-32181, "[-587; 32767]"
-32180, "[-588; 32767]"
-32179, "[-589; 32767]"
-32178, "[-590; 32767]"
-32177, "[-591; 32767]"
-32176, "[-592; 32767]"
-32175, "[-593; 32767]"
-32174, "[-594; 32767]"
-32173, "[-595; 32767]"
-32172, "[-596; 32767]"
-32171, "[-597; 32767]"
-32170, "[-598; 32767]"
-32169, "[-599; 32767]"
-32168, "[-600; 32767]"
-32167, "[-601; 32767]"
-32166, "[-602; 32767]"
-32165, "[-603; 32767]"
-32164, "[-604; 32767]"
-32163, "[-605; 32767]"
-32162, "[-606; 32767]"
-32161, "[-607; 32767]"
-32160, "[-608; 32767]"
-32159, "[-609; 32767]"
-32158, "[-610; 32767]"
-32157, "[-611; 32767]"
-32156, "[-612; 32767]"
-32155, "[-613; 32767]"
-32154, "[-614; 32767]"
-32153, "[-615; 32767]"
-32152, "[-616; 32767]"
-32151, "[-617; 32767]"
-32150, "[-618; 32767]"
-32149, "[-619; 32767]"
-32148, "[-620; 32767]"
-32147, "[-621; 32767]"
-32146, "[-622; 32767]"
-32145, "[-623; 32767]"
-32144, "[-624; 32767]"
-32143, "[-625; 32767]"
-32142, "[-626; 32767]"
-32141, "[-627; 32767]"
-32140, "[-628; 32767]"
-32139, "[-629; 32767]"
-32138, "[-630; 32767]"
-32137, "[-631; 32767]"
-32136, "[-632; 32767]"
-32135, "[-633; 32767]"
-32134, "[-634; 32767]"
-32133, "[-635; 32767]"
-32132, "[-636; 32767]"
-32131, "[-637; 32767]"
-32130, "[-638; 32767]"
-32129, "[-639; 32767]"
-32128, "[-640; 32767]"
-32127, "[-641; 32767]"
-32126, "[-642; 32767]"
-32125, "[-643; 32767]"
-32124, "[-644; 32767]"
-32123, "[-645; 32767]"
-32122, "[-646; 32767]"
-32121, "[-647; 32767]"
-32120, "[-648; 32767]"
-32119, "[-649; 32767]"
-32118, "[-650; 32767]"
-32117, "[-651; 32767]"
-32116, "[-652; 32767]"
-32115, "[-653; 32767]"
-32114, "[-654; 32767]"
-32113, "[-655; 32767]"
-32112, "[-656; 32767]"
-32111, "[-657; 32767]"
-32110, "[-658; 32767]"
-32109, "[-659; 32767]"
-32108, "[-660; 32767]"
-32107, "[-661; 32767]"
-32106, "[-662; 32767]"
-32105, "[-663; 32767]"
-32104, "[-664; 32767]"
-32103, "[-665; 32767]"
-32102, "[-666; 32767]"
-32101, "[-667; 32767]"
-32100, "[-668; 32767]"
-32099, "[-669; 32767]"
-32098, "[-670; 32767]"
-32097, "[-671; 32767]"
-32096, "[-672; 32767]"
-32095, "[-673; 32767]"
-32094, "[-674; 32767]"
-32093, "[-675; 32767]"
-32092, "[-676; 32767]"
-32091, "[-677; 32767]"
-32090, "[-678; 32767]"
-32089, "[-679; 32767]"
-32088, "[-680; 32767]"
-32087, "[-681; 32767]"
-32086, "[-682; 32767]"
-32085, "[-683; 32767]"
-32084, "[-684; 32767]"
-32083, "[-685; 32767]"
-32082, "[-686; 32767]"
-32081, "[-687; 32767]"
-32080, "[-688; 32767]"
-32079, "[-689; 32767]"
-32078, "[-690; 32767]"
-32077, "[-691; 32767]"
-32076, "[-692; 32767]"
-32075, "[-693; 32767]"
-32074, "[-694; 32767]"
-32073, "[-695; 32767]"
-32072, "[-696; 32767]"
-32071, "[-697; 32767]"
-32070, "[-698; 32767]"
-32069, "[-699; 32767]"
-32068, "[-700; 32767]"
-32067, "[-701; 32767]"
-32066, "[-702; 32767]"
-32065, "[-703; 32767]"
-32064, "[-704; 32767]"
-32063, "[-705; 32767]"
-32062, "[-706; 32767]"
-32061, "[-707; 32767]"
-32060, "[-708; 32767]"
-32059, "[-709; 32767]"
-32058, "[-710; 32767]"
-32057, "[-711; 32767]"
-32056, "[-712; 32767]"
-32055, "[-713; 32767]"
-32054, "[-714; 32767]"
-32053, "[-715; 32767]"
-32052, "[-716; 32767]"
-32051, "[-717; 32767]"
-32050, "[-718; 32767]"
-32049, "[-719; 32767]"
-32048, "[-720; 32767]"
-32047, "[-721; 32767]"
-32046, "[-722; 32767]"
-32045, "[-723; 32767]"
-32044, "[-724; 32767]"
-32043, "[-725; 32767]"
-32042, "[-726; 32767]"
-32041, "[-727; 32767]"
-32040, "[-728; 32767]"
-32039, "[-729; 32767]"
-32038, "[-730; 32767]"
-32037, "[-731; 32767]"
-32036, "[-732; 32767]"
-32035, "[-733; 32767]"
-32034, "[-734; 32767]"
-32033, "[-735; 32767]"
-32032, "[-736; 32767]"
-32031, "[-737; 32767]"
-32030, "[-738; 32767]"
-32029, "[-739; 32767]"
-32028, "[-740; 32767]"
-32027, "[-741; 32767]"
-32026, "[-742; 32767]"
-32025, "[-743; 32767]"
-32024, "[-744; 32767]"
-32023, "[-745; 32767]"
-32022, "[-746; 32767]"
-32021, "[-747; 32767]"
-32020, "[-748; 32767]"
-32019, "[-749; 32767]"
-32018, "[-750; 32767]"
-32017, "[-751; 32767]"
-32016, "[-752; 32767]"
-32015, "[-753; 32767]"
-32014, "[-754; 32767]"
-32013, "[-755; 32767]"
-32012, "[-756; 32767]"
-32011, "[-757; 32767]"
-32010, "[-758; 32767]"
-32009, "[-759; 32767]"
-32008, "[-760; 32767]"
-32007, "[-761; 32767]"
-32006, "[-762; 32767]"
-32005, "[-763; 32767]"
-32004, "[-764; 32767]"
-32003, "[-765; 32767]"
-32002, "[-766; 32767]"
-32001, "[-767; 32767]"
-32000, "[-768; 32767]"
-31999, "[-769; 32767]"
-31998, "[-770; 32767]"
-31997, "[-771; 32767]"
-31996, "[-772; 32767]"
-31995, "[-773; 32767]"
-31994, "[-774; 32767]"
-31993, "[-775; 32767]"
-31992, "[-776; 32767]"
-31991, "[-777; 32767]"
-31990, "[-778; 32767]"
-31989, "[-779; 32767]"
-31988, "[-780; 32767]"
-31987, "[-781; 32767]"
-31986, "[-782; 32767]"
-31985, "[-783; 32767]"
-31984, "[-784; 32767]"
-31983, "[-785; 32767]"
-31982, "[-786; 32767]"
-31981, "[-787; 32767]"
-31980, "[-788; 32767]"
-31979, "[-789; 32767]"
-31978, "[-790; 32767]"
-31977, "[-791; 32767]"
-31976, "[-792; 32767]"
-31975, "[-793; 32767]"
-31974, "[-794; 32767]"
-31973, "[-795; 32767]"
-31972, "[-796; 32767]"
-31971, "[-797; 32767]"
-31970, "[-798; 32767]"
-31969, "[-799; 32767]"
-31968, "[-800; 32767]"
-31967, "[-801; 32767]"
-31966, "[-802; 32767]"
-31965, "[-803; 32767]"
-31964, "[-804; 32767]"
-31963, "[-805; 32767]"
-31962, "[-806; 32767]"
-31961, "[-807; 32767]"
-31960, "[-808; 32767]"
-31959, "[-809; 32767]"
